COUNTRY,INCOMEPERPERSON,ALCCONSUMPTION,ARMEDFORCESRATE,BREASTCANCERPER100TH,CO2EMISSIONS,FEMALEEMPLOYRATE,HIVRATE,INTERNETUSERATE,LIFEEXPECTANCY,OILPERPERSON,POLITYSCORE,RELECTRICPERPERSON,SUICIDEPER100TH,EMPLOYRATE,urbanrate
ANTARCTIC FISHERIES,,,,,143000,,,,,,,,,,
Abkhazia,,,,,,,,,,,,,,,
Afghanistan,,0.03,0.5696534,26.8,75944000,25.600000381,,3.6541216228,48.673,,0,,6.6843852997,55.700000763,24.04
Akrotiri and Dhekelia,,,,,,,,,,,,,,,
Albania,1914.9965509,7.29,1.0247361,57.4,223747333.33,42.099998474,,44.989946958,76.918,,9,636.34138337,7.6993298531,51.400001526,46.72
Algeria,2231.9933352,0.69,2.306817,23.5,2932108666.7,31.700000763,0.1,12.500073306,73.131,0.4200945252,2,590.50981435,4.8487696648,50.5,65.22
American Samoa,,,,,,,,,,,,,,,92.32
Andorra,21943.339898,10.17,,,,,,81,,,,,5.3621788025,,88.92
Angola,1381.0042677,5.57,1.4613288,23.1,248358000,69.400001526,2,9.9999538832,51.093,,-2,172.99922739,14.55467701,75.699996948,56.7
Anguilla,,,,,363000,,,,,,,,,,
Antigua and Barbuda,11894.464075,8.17,,,16225000,,,80.645454545,,,,,2.1618432999,,30.46
Argentina,10749.419238,9.35,0.560987,73.9,5872119000,45.900001526,0.5,36.00033495,75.901,0.635943801,8,768.4282997,7.765584,58.400001526,92
Armenia,1326.7417572,13.66,2.6184384,51.6,51219666.667,34.200000763,0.1,44.00102458,74.241,,5,603.76305756,3.7415878773,40.099998474,63.86
Aruba,,,,,35871000,,,41.800888889,75.246,,,,,,46.78
Australia,25249.986061,10.21,0.4862799,83.2,12970092667,54.599998474,0.1,75.895653796,81.907,1.9130261091,10,2825.3910954,8.4700301251,61.5,88.74
Austria,26692.984107,12.4,0.8155798,70.5,4466084333.3,49.700000763,0.3,72.731575542,80.854,1.5487909661,10,2068.123309,13.09437,57.099998474,67.16
Azerbaijan,2344.8969162,13.34,1.9767462,31.5,511107666.67,56.200000763,0.1,46.679701568,70.739,0.35917261,-7,921.56211076,1.3809646368,60.900001526,51.92
Bahamas,19630.540547,8.65,0.5452863,54.4,137555000,60.700000763,3.1,42.984580175,75.62,,,,3.3744158745,66.599998474,83.7
Bahrain,12505.212545,4.19,5.2311429,40.2,503994333.33,30.200000763,,54.992809033,75.057,,-7,7314.3556367,4.4149904251,60.400001526,88.52
Bangladesh,558.06287663,0.17,0.2878915,16.6,598774000,53.599998474,0.06,3.7000032598,68.944,0.0322814662,5,68.115228584,14.538356781,68.099998474,27.14
Barbados,9243.5870526,6.42,0.6639555,62.5,36160666.667,60.299999237,1.4,70.02859927,76.835,,,,3.1086025238,66.900001526,39.84
Belarus,2737.6703794,18.85,3.7119299,36,999874333.33,48.599998474,0.3,32.052143909,70.349,0.6878280797,-7,614.90728721,26.874690295,53.400001526,73.46
Belgium,24496.048264,10.41,0.8156477,92,10897025333,41.700000763,0.2,73.733934471,80.009,,8,1920.9622152,15.95385,48.599998474,97.36
Belize,3545.6521739,5.92,0.7583556,29.8,14058000,38.799999237,2.3,12.645733333,76.072,,,,9.3887958527,56.799999237,51.7
Benin,377.03969946,2.08,0.2233986,28.1,37950000,58.200000763,1.2,3.1299618034,56.081,,7,38.222943358,6.0577397346,71.599998474,41.2
Bermuda,62682.147006,,,,20331666.667,,,84.654514087,,,,,,,100
